"Age","ET","IT1","ST","NT","TT1","FT","JT","PT","AT","TT2","RPT","IPT","APT","SPT","PPT","CPT","PWP1","PRE","PWP2","PET1","PET2","PPET","IQ","RSA","RSB","RSC","RSD","RSE","ABF","BCM","CVW","CAD","EU","EM","EA","H","HEM","IT2","LR","LES","LST","MAPR","MI","PC","PSA","PHR","RS","SP","SC","TE","TL"
"26","39","61","73","27","89","11","21","79","11","89","9","12","4","7","4","7","5","10","4","0","2","3","116","100","100","100","92","42","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","73","27","34","66","79","21","80","20","68","32","8","7","4","10","11","3","7","5","4","0","2","6","108","100","100","75","58","67","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","34","66","73","27","71","29","39","61","38","62","10","11","6","5","3","8","2","4","1","3","5","9","100","100","100","92","75","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","81","19","45","55","72","28","62","38","36","64","13","5","2","9","5","9","4","1","11","0","7","1","102","92","75","67","75","67","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","63","37","32","68","67","33","73","27","54","46","11","6","5","6","6","9","2","4","10","1","6","1","100","100","67","50","92","67","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","43","57","39","61","59","41","54","46","43","57","12","7","3","11","4","6","1","2","12","0","8","1","116","100","100","92","100","42","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","60","40","37","63","77","23","83","17","24","76","12","6","3","7","5","10","1","5","4","2","1","11","106","100","92","75","75","50","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","28","72","25","75","63","37","78","22","31","69","9","7","2","10","7","8","8","5","3","0","2","6","91","100","92","67","33","17","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","39","61","79","21","79","21","37","63","71","29","5","12","4","8","6","8","2","11","4","2","0","5","108","100","100","67","75","58","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","46","54","37","63","32","68","40","60","47","53","11","10","3","8","2","9","5","6","1","2","5","5","108","100","100","83","83","33","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","40","60","45","55","63","37","28","62","41","59","12","8","2","6","7","8","4","3","6","1","3","7","110","100","100","75","75","58","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","31","69","63","37","40","60","32","68","32","68","12","6","6","9","5","5","2","2","1","6","1","12","106","92","67","92","92","50","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","68","32","30","70","35","65","85","15","73","27","5","5","6","11","10","6","7","5","5","1","3","3","102","100","92","67","50","33","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","71","29","38","62","19","81","72","28","31","69","7","3","3","12","9","9","8","5","3","0","4","4","82","100","83","58","8","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","71","29","29","71","73","27","80","20","73","27","10","6","2","9","5","11","8","2","1","0","10","3","100","100","67","75","75","50","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","64","36","25","75","65","35","83","17","66","34","10","8","1","10","4","10","8","3","1","1","10","1","130","100","100","100","100","92","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","61","39","19","81","70","30","75","25","62","38","11","7","3","11","3","8","9","2","1","0","11","1","106","100","92","83","67","50","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","61","39","37","63","60","40","69","31","11","89","12","7","3","7","5","9","4","8","6","0","2","4","92","92","83","67","75","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","83","17","60","40","55","45","25","75","21","79","9","8","4","11","5","6","10","4","1","3","2","4","99","100","83","67","67","42","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","28","72","40","60","72","28","70","30","22","78","11","9","4","6","3","10","2","11","4","0","2","5","124","100","100","92","92","83","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","74","26","19","81","61","39","73","27","63","37","8","8","4","10","8","5","10","4","2","2","1","5","102","100","83","92","58","42","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","73","27","72","28","28","72","69","31","69","31","8","3","8","6","10","8","10","2","1","8","1","2","102","100","83","67","83","42","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","81","19","63","37","37","63","70","30","54","46","7","3","3","6","12","12","11","1","3","2","2","5","90","75","50","50","67","58","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","69","31","43","57","30","70","83","17","60","40","8","2","2","6","13","12","10","7","1","2","2","2","96","75","58","67","92","50","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","83","17","39","61","42","58","41","59","57","43","7","8","4","12","7","5","10","3","1","3","1","5","92","92","83","75","50","17","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
